line_number,record_type,address_line1,company_name,date,fax,first_name,initials,last_name,phone,record_type,status
2,1,1,,,,,,,,1,
3,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
4,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
5,unknown,85588-000      009   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
6,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
7,-,,,,,,,,,-,
8,unknown,,PARKER HANNIFIN CORPORATION,DESENCO IN,,,,,,,C
9,unknown,,O-SEAL DIVISION,1938 SOUTH,NGTON RD,RD,GTON,,NGTON RD,,ARLIN
10,unknown,,7664 PANASONIC WAY,,,,,,,,
11,unknown,,"SAN DIEGO, CA 92154","AKRON, OH",,,,,,,44306
13,unknown,,,,3307241200,33072,,41200,3307241200,,
14,0,,,,,,,,,0,
15,unknown,X,DEX 090400                           X,028511153  N,PROX ORIGIN      FE,ORIGIN,PROX,F,PROX ORIGIN      FE,,ET 20
16,-,,          ,04/09/12,BD   BRIAN DEARB  ,BRIAN,BD,DEARB,BD   BRIAN DEARB  ,-,E
17,0,,,,,,,,,0,
19,0,31697,C0,01        EA,211401 3 PLATE MOLD,3 PLA,11401,TE MOLD,211401 3 PLATE MOLD,0,75-2
21,*S,,,EE QUOTE # 3,,,,,,*S,6217*
22,TR,,,ACKING: 8585,767,,67,,767,TR,837737
24,0,"31697      510.0000    1,020.00",05/31/12           C0,02    2.0 EA,TOM CAVITY INSERT,VITY I,OM CA,NSERT,TOM CAVITY INSERT,0,BOTT
26,RA,,,W MATERIAL B,,,,,,RA,LANK
28,0,31697,C0,03        EA,HINED BOTTOM INSERT,BOTTOM,INED,INSERT,HINED BOTTOM INSERT,0,MACH
31,0,"31697    2,730.0000    2,730.00",05/31/12           C0,04    1.0 EA,211401 CENTER PLATE,CENTE,11401,R PLATE,211401 CENTER PLATE,0,75-2
33,CA,,,NCELLED,,,,,,CA,
35,0,31697,C0,05        EA,EDITE FEE,FEE,DITE,,EDITE FEE,0,EXPE
36,unknown,,,,C,,,,C,,MISC
38,0,"31697    3,060.0000    3,060.00",06/06/12           C0,06    1.0 EA,UT TOP CAVITY PLATE,CAVIT,T TOP,Y PLATE,UT TOP CAVITY PLATE,0,RECU
40,SE,,,E QUOTE # 36,,,,,,SE,318
41,0,NUED,CONTI,,,,,,,0,
42,1,,,,,,,,,1,
43,1,2,,,,,,,,1,
44,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
45,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
46,unknown,85588-000      009   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
47,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
48,-,,,,,,,,,-,
49,unknown,,PARKER HANNIFIN CORPORATION,DESENCO IN,,,,,,,C
50,unknown,,O-SEAL DIVISION,1938 SOUTH,NGTON RD,RD,GTON,,NGTON RD,,ARLIN
51,unknown,,7664 PANASONIC WAY,,,,,,,,
52,unknown,,"SAN DIEGO, CA 92154","AKRON, OH",,,,,,,44306
54,unknown,,,,3307241200,33072,,41200,3307241200,,
55,0,,,,,,,,,0,
56,unknown,X,DEX 090400                           X,028511153  N,PROX ORIGIN      FE,ORIGIN,PROX,F,PROX ORIGIN      FE,,ET 20
57,-,,          ,04/09/12,BD   BRIAN DEARB  ,BRIAN,BD,DEARB,BD   BRIAN DEARB  ,-,E
58,0,,,,,,,,,0,
64,0,"31697    3,770.0000    3,770.00",06/06/12           C0,07    1.0 EA,HINE BOTTOM INSERT,OTTOM,INE B,INSERT,HINE BOTTOM INSERT,0,MACH
66,SE,,,E QUOTE # 36,,,,,,SE,318
68,0,"31697    2,110.0000    2,110.00",06/06/12           C0,08    1.0 EA,KLON PLATING,LATING,LON P,,KLON PLATING,0,NICK
