col1,col2,col3
2,2,10
2,3,16
2,4,22
2,5,26
2,6,30
2,7,30
2,8,30
2,9,30
2,10,30
2,11,30
2,12,30
2,13,30
2,14,28
2,15,132
3,16,256
4,18,256
5,2,10
5,19,30
5,25,8
5,26,40
5,27,40
5,28,40
5,29,10
5,30,10
5,31,10
5,32,40
5,33,3
5,34,20
5,35,10
5,36,10
5,37,3
5,38,20
5,39,10
5,40,10
5,41,3
5,42,20
5,43,10
5,44,10
5,45,40
5,46,7
5,47,10
5,48,10
5,49,10
5,50,10
5,51,10
5,52,30
5,53,10
5,54,10
5,55,10
5,56,10
6,57,10
6,58,30
6,59,30
6,60,30
6,61,30
6,62,0
6,63,30
6,64,30
6,65,30
6,66,30
6,67,30
6,68,30
6,69,30
6,70,30
6,71,15
6,72,30
6,73,30
6,74,30
6,75,30
6,76,50
6,77,6
6,78,0
6,79,0
6,80,0
6,81,0
6,82,20
6,83,6
6,84,132
6,85,0
6,86,0
6,87,0
6,88,20
6,89,0
7,90,100
8,90,100
9,91,132
9,92,10
9,93,0
9,94,30
9,95,30
9,96,30
9,97,30
9,98,10
9,99,12
9,100,0
9,101,0
9,102,15
9,103,10
9,104,30
9,105,30
9,106,30
9,107,30
9,108,30
9,109,30
9,110,30
9,111,30
9,112,20
9,113,20
9,114,10
9,115,10
9,116,0
9,117,102
9,118,12
9,119,10
9,120,10
9,121,10
9,122,20
14,132,
14,133,
14,134,
14,135,
14,136,
14,137,
14,138,
14,139,
14,140,
14,141,
14,142,
14,143,
14,144,
14,145,
14,146,
14,147,
14,148,
14,149,
14,150,
14,151,
14,152,
14,153,
14,154,
14,155,
14,156,
14,157,
14,158,
14,159,
14,160,
14,161,
14,162,
14,163,
14,164,
14,165,
14,166,
16,132,
16,133,
16,134,
16,135,
16,136,
16,137,
16,138,
16,139,
16,140,
16,141,
16,142,
16,143,
16,144,
16,145,
16,146,
16,147,
16,148,
16,149,
16,150,
16,151,
16,152,
16,153,
16,154,
16,155,
16,156,
16,157,
16,158,
16,159,
16,160,
16,161,
16,162,
16,163,
16,164,
16,165,
17,167,
