col1,col2,col3,col4,col5,col6,col7
2,2,1996-06-14,1998-10-06 00:00:00.0,5,,2
3,3,1996-05-25,1998-10-06 00:00:00.0,5,,3
4,4,1996-02-13,1998-10-06 00:00:00.0,5,,4
5,5,1997-02-28,1998-10-06 00:00:00.0,5,,
6,6,1996-07-27,1998-10-06 00:00:00.0,5,,6
7,7,1996-06-27,1998-10-06 00:00:00.0,5,,7
8,8,1998-07-27,1998-10-06 00:00:00.0,5,,8
9,9,1996-08-01,1998-10-06 00:00:00.0,5,,9
10,10,1996-06-15,1998-10-06 00:00:00.0,5,,11
11,11,1992-04-04,1998-10-06 00:00:00.0,5,,
12,11,1992-04-09,1998-10-06 00:00:00.0,5,,
13,12,1996-01-22,1998-10-06 00:00:00.0,5,,13
14,13,1996-06-01,1998-10-06 00:00:00.0,5,,14
15,14,1996-07-28,1998-10-06 00:00:00.0,5,,15
16,15,1996-04-12,1998-10-06 00:00:00.0,5,,17
17,16,1996-04-12,1998-10-06 00:00:00.0,5,,17
18,17,1996-04-12,1998-10-06 00:00:00.0,5,,17
19,18,1996-04-12,1998-10-06 00:00:00.0,5,,17
20,19,1996-04-12,1998-10-06 00:00:00.0,5,,17
21,20,1996-04-12,1998-10-06 00:00:00.0,5,,17
22,21,1996-04-12,1998-10-06 00:00:00.0,5,,17
23,22,1996-04-12,1998-10-06 00:00:00.0,5,,17
24,23,1996-04-12,1998-10-06 00:00:00.0,5,,17
25,24,1996-04-12,1998-10-06 00:00:00.0,5,,17
26,25,1996-04-12,1998-10-06 00:00:00.0,5,,17
27,26,1996-04-12,1998-10-06 00:00:00.0,5,,17
28,27,1996-04-12,1998-10-06 00:00:00.0,5,,17
29,28,1996-04-12,1998-10-06 00:00:00.0,5,,17
30,29,1996-04-12,1998-10-06 00:00:00.0,5,,17
31,30,1996-04-12,1998-10-06 00:00:00.0,5,,17
32,31,1996-04-12,1998-10-06 00:00:00.0,5,,17
