col1,col2,col3,col4,col5,col6,col7
2,6,Financial,1998-10-06,5,,2
3,6,Bank Reports,1998-10-06,5,,5
4,8,Billing,1998-10-06,5,,12
5,8,Patient Information,1998-10-06,5,,7
6,8,Audit Reports,1998-10-06,5,,8
7,10,Universal Distribution,1998-10-06,5,,13
8,10,Universal Electric,1998-10-06,5,,16
9,10,Phone World,1998-10-06,5,,17
11,10,Universal Cosmetics,1998-10-06,5,,
16,6,Filemark Bank,1999-04-09,4,,
19,6,Mulit-page TIF,1999-04-09,4,,
20,6,Metacode,1999-04-09,4,,19
21,6,PCL,1999-04-09,4,,0
22,6,AFP,1999-04-09,4,,0
32,6,Cape Verde Expeditions,1999-05-04,4,,
34,21,PDF Invoices,2014-04-14,0,,
36,21,Imported Invoices,2014-04-17,0,,
37,21,Invoices,2014-04-25,0,,
