ID,FORMID,LEVELID,COLN,LENGTH,TYPE
2,5,1,page,Added form bank_statement,
3,5,1,statementperiod1,Added form bank_statement,
4,5,1,statementperiod2,Added form bank_statement,
5,5,1,statementperiod3,Added form bank_statement,
6,5,1,Name,Added form bank_statement,
7,5,1,Description1,Added form bank_statement,
8,5,1,Address1,Added form bank_statement,
9,5,1,Description2,Added form bank_statement,
10,5,1,Address2,Added form bank_statement,
11,5,1,Description3,Added form bank_statement,
12,5,1,Address3,Added form bank_statement,
13,5,1,Address4,Added form bank_statement,
14,5,1,TaxId,Added form bank_statement,
15,5,1,Detail,Added form bank_statement,
16,5,1,line,Added form greenbar,
17,,1,Global, ,
18,5,1,greenbar_text,Added form greenbar_legal,
19,,1,patient_name, ,
20,,2,Current Balance, ,
21,,2,0-30, ,
22,,2,30-60, ,
23,,2,60-90, ,
24,,2,Balance, ,
25,5,1,statement_date,Added form detailbill,
26,5,1,guarantor_line1,Added form detailbill,
27,5,1,guarantor_line2,Added form detailbill,
28,5,1,guarantor_line3,Added form detailbill,
29,5,1,patient_number,Added form detailbill,
30,5,1,admit_date,Added form detailbill,
31,5,1,discharge_date,Added form detailbill,
32,5,1,guarantor_line4,Added form detailbill,
33,5,1,insurance_company_code_line1,Added form detailbill,
34,5,1,insurance_company_id_number_line1,Added form detailbill,
35,5,1,policy_number_line1,Added form detailbill,
36,5,1,claim_number_line1,Added form detailbill,
37,5,1,insurance_company_code_line2,Added form detailbill,
38,5,1,insurance_company_id_line2,Added form detailbill,
39,5,1,policy_number_line2,Added form detailbill,
40,5,1,claim_number_line2,Added form detailbill,
41,5,1,insurance_company_code_line3,Added form detailbill,
42,5,1,insurance_company_id_line3,Added form detailbill,
43,5,1,policy_number_line3,Added form detailbill,
44,5,1,claim_number_line3,Added form detailbill,
45,5,1,description,Added form detailbill,
46,5,1,code,Added form detailbill,
47,5,1,units,Added form detailbill,
48,5,1,charges,Added form detailbill,
49,5,1,credits,Added form detailbill,
50,5,1,blank,Added form detailbill,
51,5,1,extended_charges,Added form detailbill,
52,5,1,patient_name2,Added form detailbill,
53,5,1,charges_column_total,Added form detailbill,
54,5,1,credits_column_total,Added form detailbill,
55,5,1,blank_column_total,Added form detailbill,
